species,lon,lat
Heracleum sosnowskyi,36.8153517091141,56.2638782920495
Heracleum sosnowskyi,36.3610179238381,55.852953420364
Heracleum sosnowskyi,35.9955306087506,55.8197175082564
Heracleum sosnowskyi,36.0510366898913,55.5053475116783
Heracleum sosnowskyi,35.7769358038443,56.0684827179031
Heracleum sosnowskyi,35.8188368385493,55.8588816892386
Heracleum sosnowskyi,36.08173170155679,55.8750759171199
Heracleum sosnowskyi,36.0650320735713,55.823635468602
Heracleum sosnowskyi,36.916894193712,56.4838985340901
Heracleum sosnowskyi,36.314328055895,55.8683862066581
Heracleum sosnowskyi,36.728620913824095,56.2257607267761
Heracleum sosnowskyi,36.9218537884216,56.007244905727795
Heracleum sosnowskyi,36.5622425644428,56.3368921130805
Heracleum sosnowskyi,36.6769739189113,56.27432236898219
Heracleum sosnowskyi,36.4358202158303,55.837886779551184
Heracleum sosnowskyi,36.9833082949419,55.87880870615691
Heracleum sosnowskyi,36.4554191915424,55.8397524779945
Heracleum sosnowskyi,36.9758313953026,56.0003718297961
Heracleum sosnowskyi,37.150121140977895,55.61015349568729
Heracleum sosnowskyi,36.9700055052499,55.97085943381579
Heracleum sosnowskyi,36.430188638694695,56.18848940376299
Heracleum sosnowskyi,36.50309244026389,55.6128366365016
Heracleum sosnowskyi,36.3268990267687,55.9080368525187
Heracleum sosnowskyi,36.6740368931881,55.7977127984069
Heracleum sosnowskyi,36.28142089455859,55.957552395726495
Heracleum sosnowskyi,36.1553487806218,55.7469057918688
Heracleum sosnowskyi,36.6316159963811,56.20210435623109
Heracleum sosnowskyi,36.4913634713471,55.7067997608003
Heracleum sosnowskyi,36.4468748236142,55.811745231457294
Heracleum sosnowskyi,36.3059270722766,55.9396862858934
Heracleum sosnowskyi,35.93909931857869,55.8448510026717
Heracleum sosnowskyi,37.04719851000319,55.6793242824896
Heracleum sosnowskyi,36.7655378490925,56.2908718281723
Heracleum sosnowskyi,36.4457203261321,56.2201749170388
Heracleum sosnowskyi,35.2941482055752,56.026094236259986
Heracleum sosnowskyi,36.325038487736,55.86824964820269
Heracleum sosnowskyi,36.3913430830169,55.8981191595715
Heracleum sosnowskyi,36.97298503473159,55.983641503452695
Heracleum sosnowskyi,36.3722304840496,56.0066519845015
Heracleum sosnowskyi,36.451664164069896,56.2605230689845
Heracleum sosnowskyi,35.8281554849876,55.9417510276878
Heracleum sosnowskyi,35.9830068522844,56.0143476631142
Heracleum sosnowskyi,36.23223777765129,55.4366681162406
Heracleum sosnowskyi,35.86601744944569,55.8219368731881
Heracleum sosnowskyi,35.6009388949141,55.6986657247434
Heracleum sosnowskyi,36.029793660848796,55.81971090363529
Heracleum sosnowskyi,36.3275542755094,55.5819718481223
Heracleum sosnowskyi,36.810074038586,56.2561116002701
Heracleum sosnowskyi,36.82000357290659,56.04309533048511
